"Organization - Name","Organization - Labels","Organization - Address","Organization - People","Organization - Closed deals","Organization - Open deals","Organization - Next activity date","Organization - Owner","Organization - Won deals"
"UniTBv - Universitatea Transilvania Brasov","CUSTOMER","Brasov, Romania","21","22","3","2024-06-17","Alexandru Udrea","6"
"Varta Microbattery","CUSTOMER","Brasov, Romania","6","6","1","","Alexandru Udrea","3"
"CERATIZIT S.A.","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Miele Tehnica","CUSTOMER","Brasov, Romania","7","16","1","","Alexandru Udrea","7"
"Metromat","Vendor","Brasov, Romania","3","1","0","","Alexandru Udrea","1"
"Marsipo","CUSTOMER","Brasov, Romania","1","0","1","","Alexandru Udrea","0"
"Stabilus","CUSTOMER","Brasov, Romania","12","4","2","2022-12-06","Alexandru Udrea","0"
"Tehnotop Robotics","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Geoproiect Modeling SRL","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Centerline","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Bubox die metal","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"JOYSONQUIN Automotive Systems Romania","CUSTOMER","Brasov, Romania","7","11","0","2025-11-14","Alexandru Udrea","2"
"Institutul de Cercetare - Dezvoltare pentru Pajişti Braşov","CUSTOMER","Brasov, Romania","1","2","0","","Alexandru Udrea","1"
"PFA Bogdan Roata","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Qualita Global Sourcing SRL","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Xperi","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","1"
"TDM (Transformation Decoupage de Metaux) SRL","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Tekfor","CUSTOMER","Brasov, Romania","2","2","0","","Alexandru Udrea","0"
"Total Gebox","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Draft Industries Technology","Reseller","Brașov, Romania","2","2","0","","Alexandru Udrea","0"
"S.C. T.P.H. Comercial S.R.L.","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Sennheiser International Manufacturing","CUSTOMER","Brasov, Romania","6","38","1","","Alexandru Udrea","23"
"TopMetrology","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Nvent","CUSTOMER","Brasov, Romania","2","1","0","","Alexandru Udrea","0"
"Dacia Plant","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Draexlmaier Automotive Romania Brasov","CUSTOMER","Brașov, Romania","7","2","1","2022-11-02","Alexandru Udrea","0"
"Cerb Plast","CUSTOMER","Brasov, Romania","1","0","1","","Alexandru Udrea","0"
"CAD Machining 3D","CUSTOMER, Vendor","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"Sit Group Romania","CUSTOMER","Brasov, Romania","2","0","1","","Alexandru Udrea","0"
"Lumitech","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Laromet","CUSTOMER","Brasov, Romania","3","1","0","","Alexandru Udrea","0"
"Tungsten Engineering","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Interbabis","CUSTOMER","Brașov, Romania","1","1","0","","Alexandru Udrea","0"
"Vizibil","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Hendi Romania SRL","Vendor","Brașov, Romania","0","0","0","","Alexandru Udrea","0"
"Avantage SRL","CUSTOMER","Brasov, Romania","1","0","1","","Alexandru Udrea","0"
"B2B Digital","Vendor","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Environmental Testing Rasnov","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Hamann","Vendor","Brașov, Romania","1","0","0","","Alexandru Udrea","0"
"PFA Eusebiu Hoos","CUSTOMER","Brașov, Romania","1","0","0","","Alexandru Udrea","0"
"Smart Clocks SRL","","Brașov, Romania","1","1","0","","Alexandru Udrea","0"
"STI International","CUSTOMER","Brașov, Romania","1","0","1","","Alexandru Udrea","0"
"FRAS V.M.L.","","Brașov, Romania","1","0","0","","Alexandru Udrea","0"
"LAA-MARC","","Brașov, Romania","1","0","0","","Alexandru Udrea","0"
"Atlas Copco","Vendor","Bratislava, Slovakia","1","0","0","","Alexandru Udrea","0"
"SHINING 3D Technology GmbH","Vendor","Breitwiesenstraße 28, 70565 Stuttgart, Germany","2","0","0","","Alexandru Udrea","0"
"Nuclear NDT Research & Services S.R.L","CUSTOMER","Bucharest, Bucharest, Romania","2","0","0","","Alexandru Udrea","0"
"Ministerul Apararii - UNITATEA MILITARA 02472 Bucuresti","CUSTOMER","Bucharest, Romania","1","1","0","","Alexandru Udrea","0"
"Falcon Electronics Prod.","CUSTOMER","Bucharest, Sector 3, Romania","1","0","0","","Alexandru Udrea","0"
"Greenbau","CUSTOMER","Bucuresti","2","0","0","","Alexandru Udrea","0"
"Michellin","CUSTOMER","Bucuresti","1","0","0","","Alexandru Udrea","0"
"CIDP-CRO","CUSTOMER","Bucuresti","1","1","0","","Alexandru Udrea","0"
"Sii Romania","","Bucuresti","1","0","0","","Alexandru Udrea","0"
"CHEMCO TRADE s.r.l.","","Bucuresti","1","0","0","","Alexandru Udrea","0"
"Romsan International","CUSTOMER","Bucuresti-Magurele Street no. 25 C, 5 th District","1","1","0","","Alexandru Udrea","0"
"Allard Corporation","CUSTOMER","Bucuresti, Bucresti, Romania","1","0","0","","Alexandru Udrea","0"
"INCDMTM BUC","CUSTOMER","Bucuresti, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Materials Science and Engineering Faculty","CUSTOMER","Bucuresti, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Techo Romania SRL","CUSTOMER","Bucuresti, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Total Spectrum SRL","CUSTOMER","Bucuresti, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Turck","CUSTOMER","Bucuresti, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Fara Companie","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"BFD CNC Technologies","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Corporate Office Solutions","CUSTOMER","București, Romania","1","0","0","","Alexandru Udrea","0"
"Fine Metal","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"ICPB","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"La Fantana","CUSTOMER","București, Romania","1","0","0","","Alexandru Udrea","0"
"PHB International","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Start Air","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"UMEB","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Universitatea din Bucuresti","CUSTOMER","Bucuresti, Romania","11","21","2","2026-02-11","Alexandru Udrea","0"
"UPB (Universitatea Politehnica Bucuresti)","CUSTOMER","București, Romania","19","9","1","","Alexandru Udrea","3"
"Laborator Dinamic","CUSTOMER","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Institutul National de Cercetare  Dezvoltare Medico Militara Cantacuzino din Bucuresti","CUSTOMER","Bucuresti, Romania","5","10","1","","Alexandru Udrea","0"
"CFR Calatori","CUSTOMER","București, Romania","1","0","0","","Alexandru Udrea","0"
"Tehno Electro Medical Company - TEMCO","Vendor","București, Romania","4","0","0","","Alexandru Udrea","0"
"Formwerk","Vendor","București, Romania","1","1","1","","Alexandru Udrea","0"
"Hoffmann Group Romania","CUSTOMER, Vendor","București, Romania","2","1","0","","Alexandru Udrea","0"
"Henkel","CUSTOMER","București, Romania","3","2","0","","Alexandru Udrea","1"
"Inspectoratul General al Politiei de Frontiera","CUSTOMER","București, Romania","3","3","0","","Alexandru Udrea","0"
"Dual Man","CUSTOMER","București, Romania","2","2","0","","Alexandru Udrea","0"
"Assa Abloy","CUSTOMER","București, Romania","1","0","0","","Alexandru Udrea","0"
"Branto","CUSTOMER","București, Romania","1","1","0","","Alexandru Udrea","0"
"INCDPM Bucuresti","CUSTOMER","București, Romania","2","1","1","","Alexandru Udrea","1"
"Total BioTek","","București, Romania","1","0","0","","Alexandru Udrea","0"
"Ingram Micro","","București, Romania","1","0","0","","Alexandru Udrea","0"
"CLARFON SA","","București, Romania","1","3","0","","Alexandru Udrea","0"
"Unicshop","CUSTOMER, Vendor","București, Romania","1","1","0","2025-02-24","Alexandru Udrea","0"
"MAVA-IT","","București, Romania","1","1","0","","Alexandru Udrea","0"
"Sistec","Vendor","Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Holcim","CUSTOMER","Bucuresti, Romania","1","0","1","","Alexandru Udrea","0"
"Sartorom","Vendor","București, Romania","2","0","1","","Alexandru Udrea","0"
"Mida Soft Business","","București, Romania","1","0","0","","Alexandru Udrea","0"
"INTERACTIVE Systems & Business Consulting (ISBC)","CUSTOMER","București, Romania","1","1","0","","Alexandru Udrea","0"
"ECAS ELECTRO SRL","CUSTOMER","Bucureşti, sector 2, Bd. D.Pompei nr.8, Feper parter, CP 020337","1","1","0","","Alexandru Udrea","0"
"Grenke","CUSTOMER","Bucuresti, Sector 2, Romania","2","0","0","","Alexandru Udrea","0"
"Walter Tosto","CUSTOMER","Bucuresti, Sector 4, Romania","1","0","0","","Alexandru Udrea","0"
"Imsat","CUSTOMER","Bucuresti, Sector 6, Romania","1","0","0","","Alexandru Udrea","0"
"Eltest","CUSTOMER","Budapest","1","0","0","","Alexandru Udrea","0"
"InterElectronic Hungary","Vendor","Budapest, Hungary","3","1","0","","Alexandru Udrea","0"
"Tarde Flex Electronic","CUSTOMER","Budapest, Hungary","1","0","0","","Alexandru Udrea","0"
"Microsolder","CUSTOMER","Budapest, Ungaria","3","5","1","","Alexandru Udrea","2"
"P10 LED","CUSTOMER","Bulevardul Basarabia 256, Bucharest, Romania","1","0","0","","Alexandru Udrea","0"
"Multisign","Vendor","Bulevardul Brașovului 145, Săcele 505600, Romania","1","0","0","","Alexandru Udrea","0"
"Eurolashing","Vendor","Bulevardul I. C. Brătianu 131, Constanța, Romania","1","0","0","","Alexandru Udrea","0"
"ViperInks-Metal SRL","Vendor","Bulevardul Independenței 26, Odorheiu Secuiesc, Romania","1","0","0","","Alexandru Udrea","0"
"INCAS-National Institute for Aerospace Research Elie Carafoli","CUSTOMER","Bulevardul Iuliu Maniu 220, București, Romania","1","0","1","","Alexandru Udrea","0"
"Turbomecanica","CUSTOMER","Bulevardul Iuliu Maniu 244, București","1","1","0","","Alexandru Udrea","1"
"ISIM Timisora","CUSTOMER","Bulevardul Mihai Viteazu 30, Timișoara 300222","9","12","1","","Alexandru Udrea","7"
"Omron Electronics RO","Vendor","Bulevardul Mihai Viteazu, Nr.30B, Cladirea Romcapital, etaj 1Timișoara, Romania","1","0","0","","Alexandru Udrea","0"
"Michelin","CUSTOMER","Bulevardul Mihai Viteazul 83, Zalău,Salaj,450099 Romania","2","0","0","","Alexandru Udrea","0"
"Mafcom Import","Vendor","Bulevardul Muncii 16, Cluj-Napoca, Romania","1","0","0","","Alexandru Udrea","0"
"BG CNC PRO","CUSTOMER","Bulevardul Muncii nr.12 (Incinta Sinterom), Cluj-Napoca, Romania","1","0","0","","Alexandru Udrea","0"
"ReMoni Romania","CUSTOMER","Bulevardul Socola 41, Iași, România","1","1","0","","Alexandru Udrea","0"
"Tenrom Cleaning Solutions","Vendor","Bulevardul Timișoara 52, București, Romania","3","0","0","","Alexandru Udrea","0"
"Deva Broadcast","CUSTOMER","Bulgaraia","1","0","0","","Alexandru Udrea","0"
"EXAKT Advanced Technologies","Vendor","Bürgermeister-Bombeck-Straße 4 D - 22851 Norderstedt / Germany","3","0","0","","Alexandru Udrea","0"
"RadoxLab","","Buzau","0","0","0","","Alexandru Udrea","0"
"Precizia","CUSTOMER","Buzau, Buzau, Romania","1","0","0","","Alexandru Udrea","0"
"Tehnomet","CUSTOMER","Buzau, Romania","1","0","0","","Alexandru Udrea","0"
"Romvitrine","CUSTOMER","Buzau, Romania","1","0","1","","Alexandru Udrea","0"
"MDE Converting","Vendor","Calarasi","3","4","0","2025-12-12","Alexandru Udrea","3"
"Gixen","CUSTOMER","Călărași, Romania","1","0","0","","Alexandru Udrea","0"
"SHW Pumps & Engine Components","CUSTOMER","Calea Aviatorilor 22, Ghiroda 307200, Romania","1","1","0","","Alexandru Udrea","1"
"Smilo Holding","CUSTOMER","Calea Baciului 2F-2G, Cluj-Napoca, Romania","1","1","0","2023-01-02","Alexandru Udrea","0"
"Grupas2000","CUSTOMER","Calea Giulesti | nr.  333 | Sector 6 | Bucuresti","1","1","0","","Alexandru Udrea","0"
"Amtest Romania","Vendor","Calea Lugojului no. 18a, Timișoara 307200, Romania","2","0","0","","Alexandru Udrea","0"
"BDI Romania","CUSTOMER","Calea Sagului Nr. 165 300517 Timisoara, Romania","2","2","0","","Alexandru Udrea","0"
"Telezimex","CUSTOMER","Calea Turzii 231-233, Cluj-Napoca, Romania","1","2","0","","Alexandru Udrea","0"
"Muzeul National de Arta al Romaniei","CUSTOMER","Calea Victoriei 49-53, București, Romania","2","4","4","","Alexandru Udrea","0"
"Opla Energy","CUSTOMER","Calgary, Alberta, Canada","1","1","0","","Alexandru Udrea","0"
"Hofag Engineering","CUSTOMER","Campina","1","0","0","","Alexandru Udrea","0"
"Strait Access Tewchnologies LTD","CUSTOMER","Cape Town, South Africa","1","0","0","","Alexandru Udrea","0"
"Asmetronic","Vendor","Carl-Benz-Straße 4, 67292 Kirchheimbolanden, Germany","1","0","0","","Alexandru Udrea","0"
"Hella Timisoara (Centru)","CUSTOMER","City Belt of Timisoara Street, Km5+470,Timisoara","8","4","0","","Alexandru Udrea","4"
"Public Health Department Brownsville","CUSTOMER","City of Brownsville | Public Health Department 1034 E. Levee St. | Brownsville, TX  78521","1","1","0","","Alexandru Udrea","0"
"Cognex","CUSTOMER","Clj Napoca, Cluj, Romania","1","0","0","","Alexandru Udrea","0"
"NTT DATA Corporation","CUSTOMER","Cluj Napoca","1","0","0","","Alexandru Udrea","0"
"t-s-i.ro","CUSTOMER","Cluj Napoca","1","0","0","","Alexandru Udrea","0"
"Cibernetservice","CUSTOMER","Cluj Napoca, Cluj, Romania","1","0","0","","Alexandru Udrea","0"
"FSA Romania","CUSTOMER","Cluj Napoca, Cluj, Romania","1","0","0","","Alexandru Udrea","0"
"KSN TECHNIK SRL","CUSTOMER","Cluj Napoca, Cluj, Romania","1","0","0","","Alexandru Udrea","0"
"Brusse Impex Srl","CUSTOMER","Cluj Npoca, Cluj, Romania","1","0","0","","Alexandru Udrea","0"
"Power Belt","Vendor","Cluj-Napoca 400641, Romania","1","0","0","","Alexandru Udrea","0"
"Magneti Marelli Automotive Cluj","CUSTOMER","Cluj-Napoca, Romania","3","0","0","","Alexandru Udrea","0"
"Fujikura Cluj","CUSTOMER","Cluj-Napoca, Romania","3","1","0","","Alexandru Udrea","0"
"PROFLEX","Vendor","Cluj-Napoca, Romania","0","0","0","","Alexandru Udrea","0"
"Robert Bosch SRL","CUSTOMER","Cluj, Romania","427","1059","200","2022-09-06","Alexandru Udrea","831"
"De'Longhi Romania","CUSTOMER","Cluj, Romania","8","2","1","","Alexandru Udrea","0"
"Emerson","CUSTOMER","Cluj, Romania","15","17","5","2024-02-27","Alexandru Udrea","6"
"ONE Source Solution","CUSTOMER","Cluj, Romania","3","2","0","","Alexandru Udrea","0"
"Robert Bosch - Centru","CUSTOMER","Cluj, Romania","17","14","3","","Alexandru Udrea","9"
"Universitatea Tehnica din Cluj-Napoca","CUSTOMER","Cluj, Romania","6","2","3","","Alexandru Udrea","0"
"Brammer Romania","CUSTOMER","Cluj, Romania","2","4","0","","Alexandru Udrea","0"
"Eckerle Automotive","CUSTOMER","Cluj, Romania","6","2","0","","Alexandru Udrea","1"
"CSI Romania","CUSTOMER","Cluj, Romania","2","0","0","","Alexandru Udrea","0"
"Apelogic Engineering","CUSTOMER","Cluj, Romania","3","3","0","","Alexandru Udrea","0"
"Universitatea Babes-Bolyai din Cluj-Napoca","CUSTOMER","Cluj, Romania","3","3","0","","Alexandru Udrea","1"
"Electro Grup S.R.L","CUSTOMER","Cluj, Romania","2","2","0","","Alexandru Udrea","1"
"Gühring Romania","CUSTOMER","Cluj, Romania","3","3","3","2024-11-04","Alexandru Udrea","1"
"MRB PROD SYSTEMS","CUSTOMER","Cluj, Romania","2","0","1","","Alexandru Udrea","0"
"Electrogrup","CUSTOMER","Cluj, Romania","1","2","0","","Alexandru Udrea","0"
"Awe Infra SRL","CUSTOMER","Cluj, Romania","1","1","0","","Alexandru Udrea","0"
"Aquaplus SRL","CUSTOMER","Cluj, Romania","1","1","0","","Alexandru Udrea","1"
"Universitatea SAPIENTIA","","Cluj, Romania","1","1","0","2025-12-05","Alexandru Udrea","1"
"Institutul Regional DE Gastroenterologie-Hepatologie ""Prof. DR. Octavian Fodor"" Cluj","CUSTOMER","Cluj, Romania","1","1","0","2026-02-24","Alexandru Udrea","0"
"Computime Technologies S.R.L.","CUSTOMER","Cluj, Romania","1","0","1","","Alexandru Udrea","0"
"Microtek","CUSTOMER","Codlea","1","0","0","","Alexandru Udrea","0"
"Lingemann","CUSTOMER","Codlea, Romania","1","0","0","","Alexandru Udrea","0"
"Saipem","CUSTOMER","Com. Aricestii Rahtivani, Prahova, Romania","9","7","0","2023-03-03","Alexandru Udrea","1"
"Universitatea Ovidius Constanta","CUSTOMER","Constanta, Constanta, Romania","3","2","0","","Alexandru Udrea","0"
"Consiliul Judetean Constanta","CUSTOMER","Constanța, Constanța, Romania","1","2","0","","Alexandru Udrea","0"
"Crucial","","Constanța, Romania","1","1","0","","Alexandru Udrea","0"
"Unimasters","Transportator","Constanța, Romania","1","0","0","","Alexandru Udrea","0"
"Walor Romania","CUSTOMER","Covasna, Romania","9","1","2","2025-12-02","Alexandru Udrea","0"
"EUROETANS INDUSTRI S.R.L.","","Craiova","1","1","0","","Alexandru Udrea","0"
"Cummins Generator Technologies/Craiova","CUSTOMER","Craiova, Dolj, Romania","1","0","0","","Alexandru Udrea","0"
"INAS","CUSTOMER","Craiova, Dolj, Romania","2","0","0","","Alexandru Udrea","0"
"Centrul Judetean de Aparatura Medicala Dolj","CUSTOMER","Craiova, Dolj, Romania","1","1","0","","Alexandru Udrea","1"
"CJAM Dolj","CUSTOMER","Craiova, Dolj, Romania","1","4","0","","Alexandru Udrea","1"
"Uzina Mecanica Cugir","CUSTOMER","Cugir, Romania","1","0","0","","Alexandru Udrea","0"
"Kemet International Ltd","Vendor","Cuxton Road, Maidstone, UK","1","0","0","","Alexandru Udrea","0"
"Universitatea Valahia din Targoviste","CUSTOMER","Dâmbovița, Romania","3","3","0","2026-03-12","Alexandru Udrea","2"
"Continental Automotive Lithuania","CUSTOMER","Davalgoniu str. 12, Sergeiciku I k.,  Karmelavos sen., Kaunas region 54462, Lithuania","3","1","1","","Alexandru Udrea","0"
"Vanbet SRL","CUSTOMER","DC58, Gara Banca 737025","2","1","0","","Alexandru Udrea","0"
"Maedler Hungary","","Debrecen, Hungary","1","0","0","","Alexandru Udrea","0"
"Delta Rubber","Vendor","Delta Rubber Limited, Priory Industrial park, Airspeed Road, Christchurch, Dorset BH23 4HD, UK","1","0","0","","Alexandru Udrea","0"
"Thermi Lyon","CUSTOMER","Deva","1","0","0","","Alexandru Udrea","0"
"Universitatea de Medicina si Farmacie Craiova","CUSTOMER","Dolj, Romania","3","3","2","","Alexandru Udrea","1"
"Universitatea din Craiova","CUSTOMER","Dolj, Romania","5","4","3","2026-02-26","Alexandru Udrea","0"
"PCO AG","Vendor","Donaupark 11, 93309 Kelheim, Germany","1","0","0","","Alexandru Udrea","0"
"Integrated Chemicals Specialties BV","Vendor","Drachmeweg 18 2153 PA  Nieuw-Vennep The Netherlands","1","0","0","","Alexandru Udrea","0"
"LD Seating s.r.o.","Vendor","Dřevařská 2461/19a, 680 01 Boskovice, Blansko District, Czechia","1","0","0","","Alexandru Udrea","0"
"Fara Companie","CUSTOMER","Drobeta Turnu Severin, Romania","1","0","0","","Alexandru Udrea","0"
"S&D HARVIC SRL","","Drobeta-Turnu Severin, Romania","1","1","0","","Alexandru Udrea","0"
"NCAB Group","CUSTOMER","Elsenheimerstraße 7, 80687 München, Germany","1","4","0","","Alexandru Udrea","4"
"Gateway Ventures West Africa","CUSTOMER","Equatorial Guinea","1","0","0","","Alexandru Udrea","0"
"Perfex","Vendor","Escalquens, France","1","0","0","","Alexandru Udrea","0"
"Sourcetronic GmbH","Vendor","Fahrenheitstrasse 1 | D-28359 Bremen","2","0","0","","Alexandru Udrea","0"
"Pasteur","CUSTOMER","Farmavet | PASTEUR Filiala Filipesti | FNC Nutritie Pietroiu Adresa corespondenta: Calea Giulesti 333/ Bucuresti Sect.6 - Intrare prin str. Dudului nr. 20","3","1","0","","Alexandru Udrea","0"
"Deutsch-Rumanische Industrie und Handelskammer  Camera de Comert si Industrie Romano-Germana","CUSTOMER","Ferdinand 22-26 , etaj 3 Cluj Napoca","1","0","0","","Alexandru Udrea","0"
"dk FIXIERSYSTEME","Vendor","Ferdinand-Lassalle-Str. 35  |  D-72770 Reutlingen","3","0","0","","Alexandru Udrea","0"
"Fanuc Automation Romania","CUSTOMER","Ferma 9, Hala 25 , 407280 Floresti, Cluj","1","0","0","","Alexandru Udrea","0"
"TransOrt GmbH","Vendor","Fichtenweg 2 | 57392 Schmallenberg Amtsgericht Arnsberg | HRB 2391 Geschäftsführer Georg Ortmann","4","0","0","","Alexandru Udrea","0"
"StarLight Opto-Electronics GmbH","Vendor","Flachslander Straße 8 | 90431 Nuremberg | Germany","1","0","0","","Alexandru Udrea","0"
"Micromet","CUSTOMER","Focsani, Vrancea, Romania","1","1","0","","Alexandru Udrea","1"
"Alantys Technology","Vendor","France","1","0","0","","Alexandru Udrea","0"
"FOBA AG","Vendor","Friedgrabenstrasse 21, 8907 Wettswil am Albis, Switzerland","1","0","0","","Alexandru Udrea","0"
"Prior Scientific Instruments","Vendor","Fulbourn, Cambridge CB21 5ET, UK","2","0","0","","Alexandru Udrea","0"
"SMILE GABI DENT","CUSTOMER","Galati","1","1","0","","Alexandru Udrea","0"
"Reform","CUSTOMER","Galati, Galati, Romania","1","0","0","","Alexandru Udrea","0"
"Consumcoop Galati","CUSTOMER","Galați, Galați, Romania","1","1","0","","Alexandru Udrea","0"
"Zico Tehnosud Galati","CUSTOMER","Galați, Romania","1","1","0","","Alexandru Udrea","1"
"Lacon Electronic SRL","CUSTOMER","Galați, Romania","1","0","0","","Alexandru Udrea","0"
"Staer","CUSTOMER","Galați, Romania","1","0","0","","Alexandru Udrea","0"
"Metlogix","Vendor","Gastager Feld 11, D - 83313 Siegsdorf","1","0","0","","Alexandru Udrea","0"
"Donaldson","","Germany","1","0","0","","Alexandru Udrea","0"
"WEG International Trade GmbH","Vendor","Ghegastrasse 3 / A-1030 Vienna, Austria FN 406393m, Handelsgericht Wien","1","0","0","","Alexandru Udrea","0"
"P&P Mixt","CUSTOMER","Gheorgheni, Harghita, Romania","1","0","0","","Alexandru Udrea","0"
"Star Sistem Industry","CUSTOMER","Giroc, Semenic, 30B, 307220","1","1","0","","Alexandru Udrea","0"
"Stonehill","Vendor","Glasvænget 4 DK-5492 Vissenbjerg Denmark","1","0","0","","Alexandru Udrea","0"
"Hipp Endoskop Service GmbH","Vendor","Glottertalstrasse 10 79108 Freiburg / Germany","1","0","0","","Alexandru Udrea","0"
"InfraTec GmbH","Vendor","Gostritzer Str. 61/63, 01217 Dresden, Germany","3","0","0","","Alexandru Udrea","0"
"VWR International GmbH","Vendor","Graumanngasse 7, 1150 Vienna, Austria","2","0","0","","Alexandru Udrea","0"
"BMG Equipment","CUSTOMER","Greece","1","1","0","","Alexandru Udrea","0"
"Elmas","Vendor","Grivitei 1Y, 500177 Brasov, Romania","5","0","0","","Alexandru Udrea","0"
"Kafer Messuhrenfabrik GmbH & Co. KG","Vendor","Hahnstraße 11, 78054 Villingen-Schwenningen, Germany","1","0","0","","Alexandru Udrea","0"
"Continental Automotive USA","CUSTOMER","Hampton Inn Detroit/Auburn Hills-North (Great Lakes Crossing Area), Baldwin Road, Auburn Hills, MI, USA","1","1","0","","Alexandru Udrea","0"
"DeltaPix Aps","Vendor","Hassellunden 16,  DK-2765 Smorum Denmark","1","0","0","","Alexandru Udrea","0"
"Robert Bosch - Hungary","CUSTOMER","Hatvan, Hungary","9","3","1","2025-09-01","Alexandru Udrea","0"
"Murtfeldt Kunststoffe","Vendor","Heßlingsweg 14-16, D-44309 Dortmund, Germany","1","0","0","","Alexandru Udrea","0"
"Audion Packaging Machines","Vendor","Hogeweyselaan 235, 1382 JL Weesp, The Netherlands","1","0","0","","Alexandru Udrea","0"
"KOZO Optical and Electronical Instrument","Vendor","http://kozo-optics.com/En","1","0","0","","Alexandru Udrea","0"
"Biacon","CUSTOMER","Hunedoara, Romania","1","0","0","","Alexandru Udrea","0"
"Chimica SA","CUSTOMER","Hunedoara, Romania","1","0","0","","Alexandru Udrea","0"
"Merci s.r.o.","Vendor","Hviezdoslavova 55b, 627 00 Brno-Slatina, Czech Republic","2","0","0","","Alexandru Udrea","0"
"CUT Production","CUSTOMER","I.L. Caragiale, Dambovita, Romania","2","0","0","","Alexandru Udrea","0"
"BMT Aerospace Romania","CUSTOMER","Iași, Iaşi, Romania","5","5","0","2025-03-25","Alexandru Udrea","0"
"AUMOVIO Technologies Romania (Continental Iasi)","CUSTOMER","Iași, Iaşi, Romania","4","5","1","","Alexandru Udrea","2"
"Schaeffler Technologies Engineering Romania SRL (Vitesco Technologies Iasi)","CUSTOMER","Iasi, Romania","10","13","1","2025-12-02","Alexandru Udrea","6"
"Proinvest","CUSTOMER","Iasi, Romania","2","2","1","","Alexandru Udrea","0"
"Universitatea Tehnica ""Gheorghe Asachi"" Iasi","CUSTOMER","Iasi, Romania","11","9","3","2026-04-15","Alexandru Udrea","2"
"Universitatea Alexandru Ioan Cuza Iasi","CUSTOMER","Iasi, Romania","6","19","0","","Alexandru Udrea","1"
"Scoala Gimnaziala ""Luca Arbure""","CUSTOMER","Iasi, Romania","1","1","0","","Alexandru Udrea","0"
"QNC TOOLS","CUSTOMER","Iași, Romania","1","0","1","","Alexandru Udrea","0"
"HAHN+KOLB Romania","CUSTOMER, Vendor","Ilfov, Romania","2","0","1","","Alexandru Udrea","0"
"Europapier","","Ilfov, Romania","1","0","0","","Alexandru Udrea","0"
"Marzhauser Wetzlar GmbH","Vendor","In der Murch 15 | 35579 Wetzlar | Germany","3","0","0","","Alexandru Udrea","0"
"Helge Nyberg AB","Vendor","Industrivägen 2, 523 90 Ulricehamn, Sweden","1","0","0","","Alexandru Udrea","0"
"Agentia Nationala A Zonei Montane, Oficiul de Dezvoltare montana nr.15- Intorsura Buzaului","CUSTOMER","Întorsura Buzăului, Str.Mihai Viteazu nr.171 Romania","1","0","0","","Alexandru Udrea","0"
"Weiss Automation Romania","Vendor","Intr.Crisul Alb ,nr.37 ,bloc 5,Scara D,Apt.35 , Sector 4, Bucuresti, Romania","1","0","0","","Alexandru Udrea","0"
"Pontis EMC","Vendor","Irrenloher Damm 30, 92521 Schwarzenfeld, Germany","1","0","0","","Alexandru Udrea","0"
"Sumida","CUSTOMER","Jimbolia, Timis, Romania","2","0","0","","Alexandru Udrea","0"
"Armstrong Fluid Technology Romania SRL","CUSTOMER","Jimbolia, Timiș, Romania","1","1","0","","Alexandru Udrea","0"
